transaction_date,product_id,quantity_sold,total_sales,store_location
3/29/2024,104,2,32.98,Store B
3/30/2024,103,15,350.48,Store D
3/31/2024,105,13,229.21,Store D
4/1/2024,101,8,192.78,Store A
4/2/2024,102,3,47.88,Store B
4/3/2024,103,7,173.2,Store A
4/4/2024,102,7,108.17,Store D
4/5/2024,105,1,23.81,Store B
4/6/2024,101,1,17.61,Store D
4/7/2024,102,8,186.85,Store C
4/8/2024,101,9,142.38,Store B
4/9/2024,101,12,211.76,Store D
4/10/2024,104,10,179.97,Store C
4/11/2024,103,10,208.9,Store D
4/12/2024,104,6,121.73,Store D
4/13/2024,104,4,94.64,Store A
4/14/2024,101,14,251.4,Store A
4/15/2024,103,4,85.75,Store A
4/16/2024,104,8,127.08,Store D
4/17/2024,103,14,296.03,Store D
4/18/2024,103,5,77.26,Store D
4/19/2024,103,5,88.91,Store D
4/20/2024,104,6,120.7,Store C
4/21/2024,102,10,177.14,Store D
4/22/2024,101,15,304.48,Store D
4/23/2024,105,5,95.95,Store C
4/24/2024,102,6,103.61,Store D
4/25/2024,103,14,294.84,Store B
4/26/2024,105,2,41.23,Store C
4/27/2024,103,5,88.48,Store C
4/28/2024,104,5,101.85,Store C
4/29/2024,105,9,180.52,Store C
4/30/2024,101,13,227.74,Store A
5/1/2024,101,12,263.65,Store D
5/2/2024,102,10,209.63,Store C
5/3/2024,105,3,49.21,Store B
5/4/2024,104,8,125.98,Store D
5/5/2024,104,7,165.49,Store D
5/6/2024,105,5,122.42,Store C
5/7/2024,103,3,68.85,Store C
5/8/2024,101,13,202.83,Store B
5/9/2024,102,13,250.33,Store B
5/10/2024,105,15,372.19,Store D
5/11/2024,101,15,296.19,Store C
5/12/2024,102,4,98.54,Store C
5/13/2024,101,9,197.71,Store C
5/14/2024,101,3,54.51,Store C
5/15/2024,105,8,124.62,Store B
5/16/2024,104,14,335.51,Store C
5/17/2024,102,11,169.02,Store B
5/18/2024,102,15,326.36,Store C
5/19/2024,101,7,141.81,Store A
5/20/2024,103,10,166.2,Store C
5/21/2024,101,3,74.87,Store B
5/22/2024,103,9,150.71,Store D
5/23/2024,104,3,55.1,Store A
5/24/2024,101,6,109.68,Store D
5/25/2024,101,14,281.05,Store D
5/26/2024,105,7,166.36,Store B
5/27/2024,101,8,144.16,Store A
5/28/2024,102,4,76.18,Store B
5/29/2024,104,5,102.58,Store D
5/30/2024,105,2,43.56,Store D
5/31/2024,101,10,164.02,Store C
6/1/2024,102,10,223.33,Store A
6/2/2024,101,9,204.61,Store D
6/3/2024,105,1,20.13,Store B
6/4/2024,101,9,218.54,Store A
6/5/2024,102,9,163.01,Store D
6/6/2024,101,12,194.06,Store A
6/7/2024,102,12,182.42,Store B
6/8/2024,104,12,266.23,Store B
6/9/2024,103,8,151.3,Store B
6/10/2024,102,15,324.26,Store C
6/11/2024,102,9,155.32,Store A
6/12/2024,103,1,24.97,Store B
6/13/2024,105,14,344.67,Store D
6/14/2024,105,5,92.48,Store C
6/15/2024,101,11,227.55,Store C
6/16/2024,105,2,43.02,Store C
6/17/2024,104,10,209.79,Store B
6/18/2024,102,5,108.93,Store B
6/19/2024,105,5,80.29,Store A
6/20/2024,102,10,183.9,Store C
6/21/2024,105,10,181.91,Store B
6/22/2024,103,2,37.39,Store C
6/23/2024,103,12,229.74,Store C
6/24/2024,102,2,32.24,Store B
6/25/2024,103,15,289.57,Store C
6/26/2024,105,3,68.71,Store D
6/27/2024,104,1,19.15,Store C
6/28/2024,101,13,277.07,Store B
6/29/2024,102,11,214.79,Store C
6/30/2024,105,3,68.44,Store D
7/1/2024,102,6,93.23,Store A
7/2/2024,104,8,193.88,Store D
7/3/2024,101,6,139.97,Store D
7/4/2024,101,4,63.53,Store B
7/5/2024,101,2,38.37,Store D
7/6/2024,103,11,190.46,Store A
7/7/2024,101,15,345.9,Store A
7/8/2024,105,5,103.82,Store B
7/9/2024,105,14,329.94,Store B
7/10/2024,104,3,57.72,Store D
7/11/2024,103,12,235.37,Store B
7/12/2024,102,9,177.21,Store A
7/13/2024,104,5,118.47,Store C
7/14/2024,103,3,63.67,Store D
7/15/2024,101,3,63.25,Store B
7/16/2024,105,15,230.01,Store A
7/17/2024,101,9,169.86,Store B
7/18/2024,101,1,22.88,Store B
